stop_id,Route,stop_lat,stop_lon,stop_name
3581,Walmart Via 104,43.456214,-76.512294,W Bridge St & W 2nd St
9695,Walmart Via 104,43.457855,-76.506776,E Bridge & E 2nd St
9696,Walmart Via 104,43.458451,-76.504755,E Bridge St & E 4th St
9726,Walmart Via 104,43.459028,-76.50287,E Bridge St & E 6th St
9727,Walmart Via 104,43.459389,-76.501555,E Bridge St & E 7th St
9729,Walmart Via 104,43.460002,-76.499497,E Bridge St & E 9th St
9731,Walmart Via 104,43.460418,-76.497264,Route 104 & E 10th St
9735,Walmart Via 104,43.460481,-76.492335,Route 104 & E 12th St
9736,Walmart Via 104,43.460557,-76.489964,Route 104 & E 13th St
9737,Walmart Via 104,43.460925,-76.484603,Route 104 & George St
9614,Walmart Via 104,43.464189,-76.477947,Walmart - Oswego
16875,Walmart Via 104,43.464001,-76.472633,Lowe's Home Improvement
18044,Price Chopper,43.45849,-76.512129,Saint Luke Apartments Osw
16317,Price Chopper,43.455223,-76.510453,W 1st St & W Oneida St
15998,Price Chopper,43.462266,-76.486519,Price Chopper Plaza Osw
17539,Blue Route,43.447158,-76.549172,SUNY Oswego The Village Residence
15529,Blue Route,43.449636,-76.550735,SUNY Oswego New Campus
15527,Blue Route,43.449798,-76.550587,SUNY Oswego New Campus
17968,Blue Route,43.450453,-76.54982,Oneida Hall & Onondaga Hall
16182,Blue Route,43.451412,-76.549911,Rudolph St & Onondaga Hall
17969,Blue Route,43.452499,-76.548364,Resident 12 Parking Lot
16170,Blue Route,43.454301,-76.543953,Penfield Library
16183,Blue Route,43.454218,-76.545082,Penfield Library
16184,Blue Route,43.455469,-76.542468,Walker Health Center
16169,Blue Route,43.455397,-76.542766,Walker Health Center
16185,Blue Route,43.456567,-76.540028,Rudolph St & Centennial Dr
16168,Blue Route,43.456702,-76.539817,Rudolph St & Centennial Dr
9679,Blue Route,43.453526,-76.537855,Washington Blvd & Baylis St
9682,Blue Route,43.45364,-76.534901,Washington Blvd & Sheldon Ave
16164,Blue Route,43.454939,-76.534832,Sheldon Ave & Takamine Rd
15521,Green Route,43.453987,-76.540364,SUNY Oswego Campus Center
9679,Green Route,43.453526,-76.537855,Washington Blvd & Baylis St
9682,Green Route,43.45364,-76.534901,Washington Blvd & Sheldon Ave
9684,Green Route,43.453708,-76.532555,Washington Blvd & Fifth Ave
16086,Green Route,43.451854,-76.532274,5th Ave & Hwy 104
16160,Green Route,43.450246,-76.534378,SUNY Oswego Romney Lot Shelter
15534,Green Route,43.445334,-76.535549,SUNY Oswego Laker Hall
3581,Oswego - Syracuse,43.456214,-76.512294,W Bridge St & W 2nd St
3590,Oswego - Syracuse,43.457531,-76.507879,E Bridge St & E 1st St
3609,Oswego - Syracuse,43.45516,-76.506368,E 1st St & E Mohawk St
3615,Oswego - Syracuse,43.453961,-76.505681,E 1st St & E Utica St
3621,Oswego - Syracuse,43.452726,-76.504994,E 1st St & E Albany St
3617,Oswego - Syracuse,43.450472,-76.50326,E River Rd & Hubbard St
15774,Oswego - Syracuse,43.442639,-76.490782,E River Rd & Woodridge
15775,Oswego - Syracuse,43.431645,-76.482255,Hwy 481 & E River Rd
